id,business_unit,agency,role,cost_centre,request_date,requested_positions
"REQ-0031","Operations","In-house","Software Engineer","CC-200 · Delivery","2026-09-04","4"
"REQ-0032","Engineering","In-house","Software Engineer","CC-300 · Corporate","2026-02-23","4"
"REQ-0033","Finance","Atlas People","Operations Specialist","CC-200 · Delivery","2026-08-06","1"
"REQ-0034","Customer Success","In-house","Operations Specialist","CC-300 · Corporate","2026-09-08","2"
"REQ-0035","Customer Success","Atlas People","Operations Specialist","CC-200 · Delivery","2026-06-28","3"
"REQ-0036","Finance","Northstar Talent","Operations Specialist","CC-300 · Corporate","2026-01-10","6"
"REQ-0037","Finance","Bridge Recruitment","Account Manager","CC-200 · Delivery","2026-08-29","3"
"REQ-0038","Engineering","Atlas People","Operations Specialist","CC-300 · Corporate","2026-05-17","4"
"REQ-0039","Engineering","In-house","Operations Specialist","CC-300 · Corporate","2026-08-16","3"
"REQ-0040","Finance","In-house","Data Analyst","CC-300 · Corporate","2026-07-02","3"
"REQ-0041","Finance","In-house","Software Engineer","CC-100 · Product","2026-04-12","4"
"REQ-0042","Customer Success","In-house","Data Analyst","CC-100 · Product","2026-04-10","3"
"REQ-0043","Customer Success","In-house","Data Analyst","CC-200 · Delivery","2026-09-02","1"
"REQ-0044","Engineering","Bridge Recruitment","Data Analyst","CC-100 · Product","2026-07-11","2"
"REQ-0045","Operations","Atlas People","Data Analyst","CC-300 · Corporate","2026-08-06","4"
"REQ-0046","Engineering","Atlas People","Operations Specialist","CC-100 · Product","2026-05-06","5"
"REQ-0047","Operations","Bridge Recruitment","Account Manager","CC-300 · Corporate","2026-02-27","6"
"REQ-0048","Engineering","Northstar Talent","Data Analyst","CC-200 · Delivery","2026-06-17","4"
"REQ-0049","Operations","Bridge Recruitment","Software Engineer","CC-300 · Corporate","2026-05-31","2"
"REQ-0050","Finance","In-house","Data Analyst","CC-100 · Product","2026-01-11","5"
"REQ-0051","Finance","Northstar Talent","Data Analyst","CC-200 · Delivery","2026-02-04","6"
"REQ-0052","Finance","In-house","Account Manager","CC-100 · Product","2026-01-27","2"
"REQ-0053","Engineering","In-house","Data Analyst","CC-200 · Delivery","2026-04-11","1"
"REQ-0054","Engineering","Atlas People","Operations Specialist","CC-100 · Product","2026-08-18","1"
"REQ-0055","Customer Success","Bridge Recruitment","Data Analyst","CC-200 · Delivery","2026-03-01","6"
"REQ-0056","Customer Success","Northstar Talent","Account Manager","CC-300 · Corporate","2026-08-21","3"
"REQ-0057","Operations","Northstar Talent","Account Manager","CC-100 · Product","2026-01-28","3"
"REQ-0058","Operations","Northstar Talent","Account Manager","CC-300 · Corporate","2026-07-12","1"
"REQ-0059","Finance","Atlas People","Software Engineer","CC-200 · Delivery","2026-08-18","2"
"REQ-0060","Engineering","Bridge Recruitment","Data Analyst","CC-200 · Delivery","2026-08-30","2"
"REQ-0061","Customer Success","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-01-02","6"
"REQ-0062","Operations","Bridge Recruitment","Account Manager","CC-100 · Product","2026-09-06","6"
"REQ-0063","Customer Success","Northstar Talent","Operations Specialist","CC-200 · Delivery","2026-08-03","4"
"REQ-0064","Engineering","In-house","Account Manager","CC-100 · Product","2026-08-09","1"
"REQ-0065","Customer Success","In-house","Data Analyst","CC-300 · Corporate","2026-04-17","5"
"REQ-0066","Customer Success","Bridge Recruitment","Account Manager","CC-100 · Product","2026-01-17","2"
"REQ-0067","Finance","Northstar Talent","Account Manager","CC-100 · Product","2026-06-27","5"
"REQ-0068","Customer Success","In-house","Software Engineer","CC-100 · Product","2026-04-24","2"
"REQ-0069","Engineering","Atlas People","Software Engineer","CC-100 · Product","2026-08-18","1"
"REQ-0070","Finance","Northstar Talent","Data Analyst","CC-100 · Product","2026-01-05","4"
"REQ-0071","Operations","In-house","Account Manager","CC-200 · Delivery","2026-03-17","4"
"REQ-0072","Finance","In-house","Account Manager","CC-100 · Product","2026-03-20","4"
"REQ-0073","Operations","Northstar Talent","Data Analyst","CC-300 · Corporate","2026-02-13","6"
"REQ-0074","Operations","Bridge Recruitment","Account Manager","CC-100 · Product","2026-02-28","1"
"REQ-0075","Customer Success","In-house","Data Analyst","CC-300 · Corporate","2026-03-27","2"
"REQ-0076","Engineering","In-house","Software Engineer","CC-100 · Product","2026-04-05","6"
"REQ-0077","Engineering","Northstar Talent","Account Manager","CC-100 · Product","2026-01-28","2"
"REQ-0078","Operations","Atlas People","Software Engineer","CC-100 · Product","2026-03-23","4"
"REQ-0079","Customer Success","Atlas People","Account Manager","CC-100 · Product","2026-03-03","3"
"REQ-0080","Engineering","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-01-23","1"
"REQ-0081","Customer Success","In-house","Operations Specialist","CC-300 · Corporate","2026-07-25","4"
"REQ-0082","Engineering","Bridge Recruitment","Operations Specialist","CC-200 · Delivery","2026-05-18","5"
"REQ-0083","Finance","In-house","Software Engineer","CC-200 · Delivery","2026-04-11","2"
"REQ-0084","Engineering","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-03-16","2"
"REQ-0085","Engineering","Bridge Recruitment","Software Engineer","CC-300 · Corporate","2026-08-23","3"
"REQ-0086","Finance","Atlas People","Data Analyst","CC-200 · Delivery","2026-09-14","4"
"REQ-0087","Customer Success","Northstar Talent","Operations Specialist","CC-200 · Delivery","2026-06-12","1"
"REQ-0088","Finance","In-house","Operations Specialist","CC-100 · Product","2026-04-10","6"
"REQ-0089","Finance","In-house","Data Analyst","CC-200 · Delivery","2026-07-29","4"
"REQ-0090","Operations","Atlas People","Software Engineer","CC-100 · Product","2026-05-25","4"
"REQ-0091","Customer Success","Atlas People","Operations Specialist","CC-200 · Delivery","2026-05-23","5"
"REQ-0092","Finance","Northstar Talent","Account Manager","CC-300 · Corporate","2026-08-17","3"
"REQ-0093","Customer Success","In-house","Operations Specialist","CC-300 · Corporate","2026-01-21","1"
"REQ-0094","Engineering","Atlas People","Account Manager","CC-300 · Corporate","2026-05-05","5"
"REQ-0095","Operations","Atlas People","Software Engineer","CC-200 · Delivery","2026-06-28","3"
"REQ-0096","Finance","Atlas People","Data Analyst","CC-200 · Delivery","2026-03-31","3"
"REQ-0097","Customer Success","Atlas People","Data Analyst","CC-100 · Product","2026-03-25","4"
"REQ-0098","Operations","In-house","Operations Specialist","CC-100 · Product","2026-05-16","3"
"REQ-0099","Operations","In-house","Software Engineer","CC-100 · Product","2026-02-24","2"
"REQ-0100","Finance","In-house","Operations Specialist","CC-200 · Delivery","2026-08-05","4"
"REQ-0101","Engineering","In-house","Software Engineer","CC-100 · Product","2026-06-27","5"
"REQ-0102","Finance","Atlas People","Operations Specialist","CC-200 · Delivery","2026-01-07","5"
"REQ-0103","Customer Success","Bridge Recruitment","Software Engineer","CC-200 · Delivery","2026-06-24","3"
"REQ-0104","Engineering","Northstar Talent","Software Engineer","CC-200 · Delivery","2026-09-14","3"
"REQ-0105","Finance","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-06-05","6"
"REQ-0106","Operations","Bridge Recruitment","Account Manager","CC-200 · Delivery","2026-07-13","1"
"REQ-0107","Operations","Atlas People","Operations Specialist","CC-300 · Corporate","2026-06-17","2"
"REQ-0108","Operations","Northstar Talent","Account Manager","CC-300 · Corporate","2026-08-18","4"
"REQ-0109","Finance","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-03-09","1"
"REQ-0110","Engineering","In-house","Data Analyst","CC-200 · Delivery","2026-01-07","6"
"REQ-0111","Engineering","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-03-05","6"
"REQ-0112","Finance","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-05-31","1"
"REQ-0113","Engineering","Northstar Talent","Software Engineer","CC-100 · Product","2026-09-01","6"
"REQ-0114","Finance","Northstar Talent","Operations Specialist","CC-200 · Delivery","2026-08-27","4"
"REQ-0115","Engineering","Northstar Talent","Data Analyst","CC-100 · Product","2026-07-17","3"
"REQ-0116","Customer Success","In-house","Data Analyst","CC-200 · Delivery","2026-07-11","5"
"REQ-0117","Operations","Northstar Talent","Data Analyst","CC-200 · Delivery","2026-01-10","6"
"REQ-0118","Customer Success","Bridge Recruitment","Account Manager","CC-200 · Delivery","2026-03-03","6"
"REQ-0119","Customer Success","Northstar Talent","Software Engineer","CC-200 · Delivery","2026-03-17","2"
"REQ-0120","Engineering","In-house","Software Engineer","CC-200 · Delivery","2026-03-15","2"
"REQ-0121","Operations","Bridge Recruitment","Data Analyst","CC-100 · Product","2026-02-14","1"
"REQ-0122","Operations","Atlas People","Operations Specialist","CC-100 · Product","2026-08-19","5"
"REQ-0123","Customer Success","Atlas People","Data Analyst","CC-200 · Delivery","2026-08-27","3"
"REQ-0124","Operations","In-house","Account Manager","CC-300 · Corporate","2026-06-19","6"
"REQ-0125","Engineering","Bridge Recruitment","Account Manager","CC-200 · Delivery","2026-06-02","3"
"REQ-0126","Operations","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-07-09","6"
"REQ-0127","Operations","Bridge Recruitment","Operations Specialist","CC-200 · Delivery","2026-03-18","6"
"REQ-0128","Operations","Bridge Recruitment","Account Manager","CC-200 · Delivery","2026-06-24","4"
"REQ-0129","Operations","Atlas People","Operations Specialist","CC-100 · Product","2026-06-07","3"
"REQ-0130","Finance","Atlas People","Software Engineer","CC-200 · Delivery","2026-08-16","2"
"REQ-0131","Customer Success","Northstar Talent","Software Engineer","CC-100 · Product","2026-07-17","3"
"REQ-0132","Customer Success","Bridge Recruitment","Operations Specialist","CC-100 · Product","2026-08-12","5"
"REQ-0133","Engineering","Northstar Talent","Software Engineer","CC-300 · Corporate","2026-05-09","2"
"REQ-0134","Operations","Atlas People","Software Engineer","CC-300 · Corporate","2026-03-24","2"
"REQ-0135","Engineering","Atlas People","Software Engineer","CC-200 · Delivery","2026-05-08","1"
"REQ-0136","Operations","Bridge Recruitment","Account Manager","CC-300 · Corporate","2026-09-01","4"
"REQ-0137","Finance","Bridge Recruitment","Software Engineer","CC-200 · Delivery","2026-09-06","6"
"REQ-0138","Customer Success","Northstar Talent","Software Engineer","CC-100 · Product","2026-05-03","6"
"REQ-0139","Customer Success","Atlas People","Operations Specialist","CC-200 · Delivery","2026-02-27","5"
"REQ-0140","Engineering","Bridge Recruitment","Software Engineer","CC-200 · Delivery","2026-04-28","5"
"REQ-0141","Operations","Atlas People","Account Manager","CC-300 · Corporate","2026-05-03","2"
"REQ-0142","Customer Success","In-house","Operations Specialist","CC-100 · Product","2026-02-21","6"
"REQ-0143","Finance","Northstar Talent","Account Manager","CC-300 · Corporate","2026-01-14","1"
"REQ-0144","Finance","Northstar Talent","Operations Specialist","CC-100 · Product","2026-04-15","3"
"REQ-0145","Customer Success","Atlas People","Data Analyst","CC-100 · Product","2026-04-02","2"
"REQ-0146","Finance","In-house","Data Analyst","CC-300 · Corporate","2026-05-18","6"
"REQ-0147","Operations","In-house","Operations Specialist","CC-300 · Corporate","2026-08-19","4"
"REQ-0148","Finance","Atlas People","Operations Specialist","CC-100 · Product","2026-05-19","5"
"REQ-0149","Engineering","Bridge Recruitment","Data Analyst","CC-300 · Corporate","2026-08-23","6"
"REQ-0150","Operations","Atlas People","Software Engineer","CC-100 · Product","2026-08-15","5"
"REQ-0151","Operations","Atlas People","Data Analyst","CC-100 · Product","2026-09-07","4"
"REQ-0152","Customer Success","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-03-27","4"
"REQ-0153","Finance","Atlas People","Software Engineer","CC-200 · Delivery","2026-07-19","4"
"REQ-0154","Operations","Atlas People","Account Manager","CC-300 · Corporate","2026-01-01","4"
"REQ-0155","Engineering","Atlas People","Account Manager","CC-200 · Delivery","2026-02-09","6"
"REQ-0156","Operations","Bridge Recruitment","Data Analyst","CC-100 · Product","2026-02-01","6"
"REQ-0157","Customer Success","Bridge Recruitment","Data Analyst","CC-100 · Product","2026-07-30","5"
"REQ-0158","Engineering","Northstar Talent","Software Engineer","CC-100 · Product","2026-04-28","4"
"REQ-0159","Engineering","In-house","Software Engineer","CC-200 · Delivery","2026-04-28","3"
"REQ-0160","Operations","In-house","Software Engineer","CC-200 · Delivery","2026-06-25","5"
"REQ-0161","Customer Success","Northstar Talent","Data Analyst","CC-300 · Corporate","2026-04-05","1"
"REQ-0162","Engineering","Bridge Recruitment","Software Engineer","CC-300 · Corporate","2026-07-25","1"
"REQ-0163","Customer Success","Northstar Talent","Account Manager","CC-200 · Delivery","2026-04-05","3"
"REQ-0164","Engineering","In-house","Operations Specialist","CC-200 · Delivery","2026-03-11","5"
"REQ-0165","Finance","Atlas People","Account Manager","CC-100 · Product","2026-07-29","6"
"REQ-0166","Engineering","Northstar Talent","Data Analyst","CC-100 · Product","2026-04-29","5"
"REQ-0167","Operations","Bridge Recruitment","Software Engineer","CC-200 · Delivery","2026-03-03","3"
"REQ-0168","Finance","Northstar Talent","Account Manager","CC-200 · Delivery","2026-06-10","1"
"REQ-0169","Engineering","Atlas People","Data Analyst","CC-300 · Corporate","2026-04-21","2"
"REQ-0170","Engineering","Atlas People","Software Engineer","CC-300 · Corporate","2026-02-26","5"
"REQ-0171","Finance","Atlas People","Software Engineer","CC-300 · Corporate","2026-04-17","6"
"REQ-0172","Finance","Northstar Talent","Data Analyst","CC-300 · Corporate","2026-06-11","5"
"REQ-0173","Finance","Bridge Recruitment","Data Analyst","CC-300 · Corporate","2026-02-19","6"
"REQ-0174","Operations","Bridge Recruitment","Account Manager","CC-300 · Corporate","2026-06-09","1"
"REQ-0175","Customer Success","Atlas People","Account Manager","CC-200 · Delivery","2026-01-21","1"
"REQ-0176","Engineering","In-house","Account Manager","CC-200 · Delivery","2026-08-24","4"
"REQ-0177","Customer Success","Northstar Talent","Operations Specialist","CC-300 · Corporate","2026-07-12","6"
"REQ-0178","Finance","Atlas People","Operations Specialist","CC-200 · Delivery","2026-08-21","6"
"REQ-0179","Finance","Northstar Talent","Account Manager","CC-300 · Corporate","2026-06-19","3"
"REQ-0180","Finance","Bridge Recruitment","Operations Specialist","CC-200 · Delivery","2026-06-02","1"
